feature,family,delta_aurc_when_shuffled,std
r_lex_overlap,retrieval,0.012091567896151179,0.002078776605083892
a_answer_in_top2,agreement,0.010666878888783937,0.0018397016421119864
d_span_len,reader,0.010273476692702944,0.0016645597445341257
d_span_prob,reader,0.00777855721117976,0.0018306237809844563
r_sim_top1,retrieval,0.006642978653582032,0.0011635016886928108
r_q_len,retrieval,0.005800092026033321,0.002002817920558574
r_sim_mean_k,retrieval,0.0041938520785426816,0.001530108193920648
r_sim_margin,retrieval,0.001754612766869279,0.0017139428120878228
a_top2_string_sim,agreement,0.001653122070131896,0.0017980860581225102
d_start_end_entropy,reader,0.0007318833839556449,0.002502004370628237
a_majority_frac,agreement,0.0005250679035502248,0.0003869498684927313
r_n_above_tau,retrieval,0.0,0.0
a_n_nonnull,agreement,0.0,0.0
d_gap,reader,-3.515808011921307e-05,0.0013036569203106452
d_null_score,reader,-0.0016646188419070617,0.0022365350832249326
r_sim_entropy,retrieval,-0.0025757079677092287,0.0025059840874758874
